emp_no,Employee,Title,Gender,Birthday,Department,Salary,from_date,to_date
107070,"Aamodt, Anestis",Engineer,M,1954-04-24,Production,$72617,1999-05-25,2000-05-24
107070,"Aamodt, Anestis",Engineer,M,1954-04-24,Production,$76443,2000-05-24,2001-05-24
107070,"Aamodt, Anestis",Engineer,M,1954-04-24,Production,$76432,2001-05-24,2002-05-24
107070,"Aamodt, Anestis",Engineer,M,1954-04-24,Production,$80229,2002-05-24,9999-01-01
107070,"Aamodt, Anestis",Engineer,M,1954-04-24,Production,$58608,1992-05-26,1993-05-26
107070,"Aamodt, Anestis",Engineer,M,1954-04-24,Production,$61044,1993-05-26,1994-05-26
107070,"Aamodt, Anestis",Engineer,M,1954-04-24,Production,$64600,1994-05-26,1995-05-26
107070,"Aamodt, Anestis",Engineer,M,1954-04-24,Production,$65969,1995-05-26,1996-05-25
107070,"Aamodt, Anestis",Engineer,M,1954-04-24,Production,$69599,1996-05-25,1997-05-25
107070,"Aamodt, Anestis",Engineer,M,1954-04-24,Production,$70011,1997-05-25,1998-05-25
107070,"Aamodt, Anestis",Engineer,M,1954-04-24,Production,$71486,1998-05-25,1999-05-25
107070,"Aamodt, Anestis",Engineer,M,1954-04-24,Production,$72617,1999-05-25,2000-05-24
107070,"Aamodt, Anestis",Engineer,M,1954-04-24,Production,$76443,2000-05-24,2001-05-24
107070,"Aamodt, Anestis",Engineer,M,1954-04-24,Production,$76432,2001-05-24,2002-05-24
107070,"Aamodt, Anestis",Engineer,M,1954-04-24,Production,$80229,2002-05-24,9999-01-01
107070,"Aamodt, Anestis","Senior Engineer",M,1954-04-24,Production,$58608,1992-05-26,1993-05-26
107070,"Aamodt, Anestis","Senior Engineer",M,1954-04-24,Production,$61044,1993-05-26,1994-05-26
107070,"Aamodt, Anestis","Senior Engineer",M,1954-04-24,Production,$64600,1994-05-26,1995-05-26
107070,"Aamodt, Anestis","Senior Engineer",M,1954-04-24,Production,$65969,1995-05-26,1996-05-25
107070,"Aamodt, Anestis","Senior Engineer",M,1954-04-24,Production,$69599,1996-05-25,1997-05-25
107070,"Aamodt, Anestis","Senior Engineer",M,1954-04-24,Production,$70011,1997-05-25,1998-05-25
107070,"Aamodt, Anestis","Senior Engineer",M,1954-04-24,Production,$71486,1998-05-25,1999-05-25
107070,"Aamodt, Anestis","Senior Engineer",M,1954-04-24,Production,$72617,1999-05-25,2000-05-24
107070,"Aamodt, Anestis","Senior Engineer",M,1954-04-24,Production,$76443,2000-05-24,2001-05-24
107070,"Aamodt, Anestis","Senior Engineer",M,1954-04-24,Production,$76432,2001-05-24,2002-05-24
107070,"Aamodt, Anestis","Senior Engineer",M,1954-04-24,Production,$80229,2002-05-24,9999-01-01
107070,"Aamodt, Anestis","Senior Engineer",M,1954-04-24,Production,$58608,1992-05-26,1993-05-26
107070,"Aamodt, Anestis","Senior Engineer",M,1954-04-24,Production,$61044,1993-05-26,1994-05-26
107070,"Aamodt, Anestis","Senior Engineer",M,1954-04-24,Production,$64600,1994-05-26,1995-05-26
107070,"Aamodt, Anestis","Senior Engineer",M,1954-04-24,Production,$65969,1995-05-26,1996-05-25
107070,"Aamodt, Anestis","Senior Engineer",M,1954-04-24,Production,$69599,1996-05-25,1997-05-25
107070,"Aamodt, Anestis","Senior Engineer",M,1954-04-24,Production,$70011,1997-05-25,1998-05-25
107070,"Aamodt, Anestis","Senior Engineer",M,1954-04-24,Production,$71486,1998-05-25,1999-05-25
107070,"Aamodt, Anestis","Senior Engineer",M,1954-04-24,Production,$72617,1999-05-25,2000-05-24
107070,"Aamodt, Anestis","Senior Engineer",M,1954-04-24,Production,$76443,2000-05-24,2001-05-24
107070,"Aamodt, Anestis","Senior Engineer",M,1954-04-24,Production,$76432,2001-05-24,2002-05-24
107070,"Aamodt, Anestis","Senior Engineer",M,1954-04-24,Production,$80229,2002-05-24,9999-01-01
107070,"Aamodt, Anestis","Senior Engineer",M,1954-04-24,Production,$58608,1992-05-26,1993-05-26
107070,"Aamodt, Anestis","Senior Engineer",M,1954-04-24,Production,$61044,1993-05-26,1994-05-26
107070,"Aamodt, Anestis","Senior Engineer",M,1954-04-24,Production,$64600,1994-05-26,1995-05-26
107070,"Aamodt, Anestis","Senior Engineer",M,1954-04-24,Production,$65969,1995-05-26,1996-05-25
107070,"Aamodt, Anestis","Senior Engineer",M,1954-04-24,Production,$69599,1996-05-25,1997-05-25
107070,"Aamodt, Anestis","Senior Engineer",M,1954-04-24,Production,$70011,1997-05-25,1998-05-25
107070,"Aamodt, Anestis","Senior Engineer",M,1954-04-24,Production,$71486,1998-05-25,1999-05-25
107070,"Aamodt, Anestis","Senior Engineer",M,1954-04-24,Production,$72617,1999-05-25,2000-05-24
107070,"Aamodt, Anestis","Senior Engineer",M,1954-04-24,Production,$76443,2000-05-24,2001-05-24
107070,"Aamodt, Anestis","Senior Engineer",M,1954-04-24,Production,$76432,2001-05-24,2002-05-24
107070,"Aamodt, Anestis","Senior Engineer",M,1954-04-24,Production,$80229,2002-05-24,9999-01-01
107070,"Aamodt, Anestis","Senior Engineer",M,1954-04-24,Production,$58608,1992-05-26,1993-05-26
107070,"Aamodt, Anestis","Senior Engineer",M,1954-04-24,Production,$61044,1993-05-26,1994-05-26
107070,"Aamodt, Anestis","Senior Engineer",M,1954-04-24,Production,$64600,1994-05-26,1995-05-26
107070,"Aamodt, Anestis","Senior Engineer",M,1954-04-24,Production,$65969,1995-05-26,1996-05-25
107070,"Aamodt, Anestis","Senior Engineer",M,1954-04-24,Production,$69599,1996-05-25,1997-05-25
107070,"Aamodt, Anestis","Senior Engineer",M,1954-04-24,Production,$70011,1997-05-25,1998-05-25
107070,"Aamodt, Anestis","Senior Engineer",M,1954-04-24,Production,$71486,1998-05-25,1999-05-25
107070,"Aamodt, Anestis","Senior Engineer",M,1954-04-24,Production,$72617,1999-05-25,2000-05-24
107070,"Aamodt, Anestis","Senior Engineer",M,1954-04-24,Production,$76443,2000-05-24,2001-05-24
107070,"Aamodt, Anestis","Senior Engineer",M,1954-04-24,Production,$76432,2001-05-24,2002-05-24
107070,"Aamodt, Anestis","Senior Engineer",M,1954-04-24,Production,$80229,2002-05-24,9999-01-01
29182,"Aamodt, Arumugam","Senior Staff",F,1952-11-17,"Customer Service",$40000,1986-01-09,1987-01-09
29182,"Aamodt, Arumugam","Senior Staff",F,1952-11-17,"Customer Service",$42973,1987-01-09,1988-01-09
29182,"Aamodt, Arumugam","Senior Staff",F,1952-11-17,"Customer Service",$44661,1988-01-09,1989-01-08
29182,"Aamodt, Arumugam","Senior Staff",F,1952-11-17,"Customer Service",$48657,1989-01-08,1990-01-08
29182,"Aamodt, Arumugam","Senior Staff",F,1952-11-17,"Customer Service",$51662,1990-01-08,1991-01-08
29182,"Aamodt, Arumugam","Senior Staff",F,1952-11-17,"Customer Service",$52274,1991-01-08,1992-01-08
29182,"Aamodt, Arumugam","Senior Staff",F,1952-11-17,"Customer Service",$56763,1992-01-08,1993-01-07
29182,"Aamodt, Arumugam","Senior Staff",F,1952-11-17,"Customer Service",$60894,1993-01-07,1994-01-07
29182,"Aamodt, Arumugam","Senior Staff",F,1952-11-17,"Customer Service",$65385,1994-01-07,1995-01-07
29182,"Aamodt, Arumugam","Senior Staff",F,1952-11-17,"Customer Service",$68860,1995-01-07,1996-01-07
29182,"Aamodt, Arumugam","Senior Staff",F,1952-11-17,"Customer Service",$68437,1996-01-07,1997-01-06
29182,"Aamodt, Arumugam","Senior Staff",F,1952-11-17,"Customer Service",$69403,1997-01-06,1998-01-06
29182,"Aamodt, Arumugam","Senior Staff",F,1952-11-17,"Customer Service",$69122,1998-01-06,1999-01-06
29182,"Aamodt, Arumugam","Senior Staff",F,1952-11-17,"Customer Service",$71037,1999-01-06,2000-01-06
29182,"Aamodt, Arumugam","Senior Staff",F,1952-11-17,"Customer Service",$73096,2000-01-06,2001-01-05
29182,"Aamodt, Arumugam","Senior Staff",F,1952-11-17,"Customer Service",$73468,2001-01-05,2002-01-05
29182,"Aamodt, Arumugam","Senior Staff",F,1952-11-17,"Customer Service",$74407,2002-01-05,9999-01-01
29182,"Aamodt, Arumugam","Senior Staff",F,1952-11-17,"Customer Service",$40000,1986-01-09,1987-01-09
29182,"Aamodt, Arumugam","Senior Staff",F,1952-11-17,"Customer Service",$42973,1987-01-09,1988-01-09
29182,"Aamodt, Arumugam","Senior Staff",F,1952-11-17,"Customer Service",$44661,1988-01-09,1989-01-08
29182,"Aamodt, Arumugam","Senior Staff",F,1952-11-17,"Customer Service",$48657,1989-01-08,1990-01-08
29182,"Aamodt, Arumugam","Senior Staff",F,1952-11-17,"Customer Service",$51662,1990-01-08,1991-01-08
29182,"Aamodt, Arumugam","Senior Staff",F,1952-11-17,"Customer Service",$52274,1991-01-08,1992-01-08
29182,"Aamodt, Arumugam","Senior Staff",F,1952-11-17,"Customer Service",$56763,1992-01-08,1993-01-07
29182,"Aamodt, Arumugam","Senior Staff",F,1952-11-17,"Customer Service",$60894,1993-01-07,1994-01-07
29182,"Aamodt, Arumugam","Senior Staff",F,1952-11-17,"Customer Service",$65385,1994-01-07,1995-01-07
29182,"Aamodt, Arumugam","Senior Staff",F,1952-11-17,"Customer Service",$68860,1995-01-07,1996-01-07
29182,"Aamodt, Arumugam","Senior Staff",F,1952-11-17,"Customer Service",$68437,1996-01-07,1997-01-06
29182,"Aamodt, Arumugam","Senior Staff",F,1952-11-17,"Customer Service",$69403,1997-01-06,1998-01-06
29182,"Aamodt, Arumugam","Senior Staff",F,1952-11-17,"Customer Service",$69122,1998-01-06,1999-01-06
29182,"Aamodt, Arumugam","Senior Staff",F,1952-11-17,"Customer Service",$71037,1999-01-06,2000-01-06
29182,"Aamodt, Arumugam","Senior Staff",F,1952-11-17,"Customer Service",$73096,2000-01-06,2001-01-05
29182,"Aamodt, Arumugam","Senior Staff",F,1952-11-17,"Customer Service",$73468,2001-01-05,2002-01-05
29182,"Aamodt, Arumugam","Senior Staff",F,1952-11-17,"Customer Service",$74407,2002-01-05,9999-01-01
29182,"Aamodt, Arumugam","Senior Staff",F,1952-11-17,"Customer Service",$40000,1986-01-09,1987-01-09
29182,"Aamodt, Arumugam","Senior Staff",F,1952-11-17,"Customer Service",$42973,1987-01-09,1988-01-09
29182,"Aamodt, Arumugam","Senior Staff",F,1952-11-17,"Customer Service",$44661,1988-01-09,1989-01-08
29182,"Aamodt, Arumugam","Senior Staff",F,1952-11-17,"Customer Service",$48657,1989-01-08,1990-01-08
29182,"Aamodt, Arumugam","Senior Staff",F,1952-11-17,"Customer Service",$51662,1990-01-08,1991-01-08
29182,"Aamodt, Arumugam","Senior Staff",F,1952-11-17,"Customer Service",$52274,1991-01-08,1992-01-08
29182,"Aamodt, Arumugam","Senior Staff",F,1952-11-17,"Customer Service",$56763,1992-01-08,1993-01-07
29182,"Aamodt, Arumugam","Senior Staff",F,1952-11-17,"Customer Service",$60894,1993-01-07,1994-01-07
29182,"Aamodt, Arumugam","Senior Staff",F,1952-11-17,"Customer Service",$65385,1994-01-07,1995-01-07
29182,"Aamodt, Arumugam","Senior Staff",F,1952-11-17,"Customer Service",$68860,1995-01-07,1996-01-07
29182,"Aamodt, Arumugam","Senior Staff",F,1952-11-17,"Customer Service",$68437,1996-01-07,1997-01-06
29182,"Aamodt, Arumugam","Senior Staff",F,1952-11-17,"Customer Service",$69403,1997-01-06,1998-01-06
29182,"Aamodt, Arumugam","Senior Staff",F,1952-11-17,"Customer Service",$69122,1998-01-06,1999-01-06
29182,"Aamodt, Arumugam","Senior Staff",F,1952-11-17,"Customer Service",$71037,1999-01-06,2000-01-06
29182,"Aamodt, Arumugam","Senior Staff",F,1952-11-17,"Customer Service",$73096,2000-01-06,2001-01-05
29182,"Aamodt, Arumugam","Senior Staff",F,1952-11-17,"Customer Service",$73468,2001-01-05,2002-01-05
29182,"Aamodt, Arumugam","Senior Staff",F,1952-11-17,"Customer Service",$74407,2002-01-05,9999-01-01
29182,"Aamodt, Arumugam","Senior Staff",F,1952-11-17,"Customer Service",$40000,1986-01-09,1987-01-09
29182,"Aamodt, Arumugam","Senior Staff",F,1952-11-17,"Customer Service",$42973,1987-01-09,1988-01-09
29182,"Aamodt, Arumugam","Senior Staff",F,1952-11-17,"Customer Service",$44661,1988-01-09,1989-01-08
29182,"Aamodt, Arumugam","Senior Staff",F,1952-11-17,"Customer Service",$48657,1989-01-08,1990-01-08
29182,"Aamodt, Arumugam","Senior Staff",F,1952-11-17,"Customer Service",$51662,1990-01-08,1991-01-08
29182,"Aamodt, Arumugam","Senior Staff",F,1952-11-17,"Customer Service",$52274,1991-01-08,1992-01-08
29182,"Aamodt, Arumugam","Senior Staff",F,1952-11-17,"Customer Service",$56763,1992-01-08,1993-01-07
29182,"Aamodt, Arumugam","Senior Staff",F,1952-11-17,"Customer Service",$60894,1993-01-07,1994-01-07
29182,"Aamodt, Arumugam","Senior Staff",F,1952-11-17,"Customer Service",$65385,1994-01-07,1995-01-07
29182,"Aamodt, Arumugam","Senior Staff",F,1952-11-17,"Customer Service",$68860,1995-01-07,1996-01-07
29182,"Aamodt, Arumugam","Senior Staff",F,1952-11-17,"Customer Service",$68437,1996-01-07,1997-01-06
29182,"Aamodt, Arumugam","Senior Staff",F,1952-11-17,"Customer Service",$69403,1997-01-06,1998-01-06
29182,"Aamodt, Arumugam","Senior Staff",F,1952-11-17,"Customer Service",$69122,1998-01-06,1999-01-06
29182,"Aamodt, Arumugam","Senior Staff",F,1952-11-17,"Customer Service",$71037,1999-01-06,2000-01-06
29182,"Aamodt, Arumugam","Senior Staff",F,1952-11-17,"Customer Service",$73096,2000-01-06,2001-01-05
29182,"Aamodt, Arumugam","Senior Staff",F,1952-11-17,"Customer Service",$73468,2001-01-05,2002-01-05
29182,"Aamodt, Arumugam","Senior Staff",F,1952-11-17,"Customer Service",$74407,2002-01-05,9999-01-01
29182,"Aamodt, Arumugam",Staff,F,1952-11-17,"Customer Service",$40000,1986-01-09,1987-01-09
29182,"Aamodt, Arumugam",Staff,F,1952-11-17,"Customer Service",$42973,1987-01-09,1988-01-09
29182,"Aamodt, Arumugam",Staff,F,1952-11-17,"Customer Service",$44661,1988-01-09,1989-01-08
29182,"Aamodt, Arumugam",Staff,F,1952-11-17,"Customer Service",$48657,1989-01-08,1990-01-08
29182,"Aamodt, Arumugam",Staff,F,1952-11-17,"Customer Service",$51662,1990-01-08,1991-01-08
29182,"Aamodt, Arumugam",Staff,F,1952-11-17,"Customer Service",$52274,1991-01-08,1992-01-08
29182,"Aamodt, Arumugam",Staff,F,1952-11-17,"Customer Service",$56763,1992-01-08,1993-01-07
29182,"Aamodt, Arumugam",Staff,F,1952-11-17,"Customer Service",$60894,1993-01-07,1994-01-07
29182,"Aamodt, Arumugam",Staff,F,1952-11-17,"Customer Service",$65385,1994-01-07,1995-01-07
29182,"Aamodt, Arumugam",Staff,F,1952-11-17,"Customer Service",$68860,1995-01-07,1996-01-07
29182,"Aamodt, Arumugam",Staff,F,1952-11-17,"Customer Service",$68437,1996-01-07,1997-01-06
29182,"Aamodt, Arumugam",Staff,F,1952-11-17,"Customer Service",$69403,1997-01-06,1998-01-06
29182,"Aamodt, Arumugam",Staff,F,1952-11-17,"Customer Service",$69122,1998-01-06,1999-01-06
29182,"Aamodt, Arumugam",Staff,F,1952-11-17,"Customer Service",$71037,1999-01-06,2000-01-06
29182,"Aamodt, Arumugam",Staff,F,1952-11-17,"Customer Service",$73096,2000-01-06,2001-01-05
29182,"Aamodt, Arumugam",Staff,F,1952-11-17,"Customer Service",$73468,2001-01-05,2002-01-05
29182,"Aamodt, Arumugam",Staff,F,1952-11-17,"Customer Service",$74407,2002-01-05,9999-01-01
29182,"Aamodt, Arumugam",Staff,F,1952-11-17,"Customer Service",$40000,1986-01-09,1987-01-09
29182,"Aamodt, Arumugam",Staff,F,1952-11-17,"Customer Service",$42973,1987-01-09,1988-01-09
29182,"Aamodt, Arumugam",Staff,F,1952-11-17,"Customer Service",$44661,1988-01-09,1989-01-08
29182,"Aamodt, Arumugam",Staff,F,1952-11-17,"Customer Service",$48657,1989-01-08,1990-01-08
29182,"Aamodt, Arumugam",Staff,F,1952-11-17,"Customer Service",$51662,1990-01-08,1991-01-08
29182,"Aamodt, Arumugam",Staff,F,1952-11-17,"Customer Service",$52274,1991-01-08,1992-01-08
29182,"Aamodt, Arumugam",Staff,F,1952-11-17,"Customer Service",$56763,1992-01-08,1993-01-07
29182,"Aamodt, Arumugam",Staff,F,1952-11-17,"Customer Service",$60894,1993-01-07,1994-01-07
29182,"Aamodt, Arumugam",Staff,F,1952-11-17,"Customer Service",$65385,1994-01-07,1995-01-07
29182,"Aamodt, Arumugam",Staff,F,1952-11-17,"Customer Service",$68860,1995-01-07,1996-01-07
29182,"Aamodt, Arumugam",Staff,F,1952-11-17,"Customer Service",$68437,1996-01-07,1997-01-06
29182,"Aamodt, Arumugam",Staff,F,1952-11-17,"Customer Service",$69403,1997-01-06,1998-01-06
29182,"Aamodt, Arumugam",Staff,F,1952-11-17,"Customer Service",$69122,1998-01-06,1999-01-06
29182,"Aamodt, Arumugam",Staff,F,1952-11-17,"Customer Service",$71037,1999-01-06,2000-01-06
29182,"Aamodt, Arumugam",Staff,F,1952-11-17,"Customer Service",$73096,2000-01-06,2001-01-05
29182,"Aamodt, Arumugam",Staff,F,1952-11-17,"Customer Service",$73468,2001-01-05,2002-01-05
29182,"Aamodt, Arumugam",Staff,F,1952-11-17,"Customer Service",$74407,2002-01-05,9999-01-01
29182,"Aamodt, Arumugam",Staff,F,1952-11-17,"Customer Service",$40000,1986-01-09,1987-01-09
29182,"Aamodt, Arumugam",Staff,F,1952-11-17,"Customer Service",$42973,1987-01-09,1988-01-09
29182,"Aamodt, Arumugam",Staff,F,1952-11-17,"Customer Service",$44661,1988-01-09,1989-01-08
29182,"Aamodt, Arumugam",Staff,F,1952-11-17,"Customer Service",$48657,1989-01-08,1990-01-08
29182,"Aamodt, Arumugam",Staff,F,1952-11-17,"Customer Service",$51662,1990-01-08,1991-01-08
29182,"Aamodt, Arumugam",Staff,F,1952-11-17,"Customer Service",$52274,1991-01-08,1992-01-08
29182,"Aamodt, Arumugam",Staff,F,1952-11-17,"Customer Service",$56763,1992-01-08,1993-01-07
29182,"Aamodt, Arumugam",Staff,F,1952-11-17,"Customer Service",$60894,1993-01-07,1994-01-07
29182,"Aamodt, Arumugam",Staff,F,1952-11-17,"Customer Service",$65385,1994-01-07,1995-01-07
29182,"Aamodt, Arumugam",Staff,F,1952-11-17,"Customer Service",$68860,1995-01-07,1996-01-07
29182,"Aamodt, Arumugam",Staff,F,1952-11-17,"Customer Service",$68437,1996-01-07,1997-01-06
29182,"Aamodt, Arumugam",Staff,F,1952-11-17,"Customer Service",$69403,1997-01-06,1998-01-06
29182,"Aamodt, Arumugam",Staff,F,1952-11-17,"Customer Service",$69122,1998-01-06,1999-01-06
29182,"Aamodt, Arumugam",Staff,F,1952-11-17,"Customer Service",$71037,1999-01-06,2000-01-06
29182,"Aamodt, Arumugam",Staff,F,1952-11-17,"Customer Service",$73096,2000-01-06,2001-01-05
29182,"Aamodt, Arumugam",Staff,F,1952-11-17,"Customer Service",$73468,2001-01-05,2002-01-05
29182,"Aamodt, Arumugam",Staff,F,1952-11-17,"Customer Service",$74407,2002-01-05,9999-01-01
29182,"Aamodt, Arumugam",Staff,F,1952-11-17,"Customer Service",$40000,1986-01-09,1987-01-09
29182,"Aamodt, Arumugam",Staff,F,1952-11-17,"Customer Service",$42973,1987-01-09,1988-01-09
29182,"Aamodt, Arumugam",Staff,F,1952-11-17,"Customer Service",$44661,1988-01-09,1989-01-08
29182,"Aamodt, Arumugam",Staff,F,1952-11-17,"Customer Service",$48657,1989-01-08,1990-01-08
